name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Anja Karliczek;Q15783504;http://commons.wikimedia.org/wiki/Special:FilePath/Karliczek%2C%20Anja-1612.jpg;FALSCH;;AnjaKarliczek;;WAHR
Anja Reinalter;Q108705707;http://commons.wikimedia.org/wiki/Special:FilePath/Anja-Reinalterx2021x.jpg;WAHR;https://pbs.twimg.com/profile_images/1494444710089400322/OenwWNSA_normal.jpg;AnjaReinalter;;WAHR
Anja Weisgerber;Q85773;http://commons.wikimedia.org/wiki/Special:FilePath/2020-02-13%20Anja%20Weisgerber%20%28Bundestagsprojekt%202020%29%20by%20Sandro%20Halank%E2%80%932.jpg;FALSCH;;anjaweisgerber;;WAHR
Anke Domscheit-Berg;Q556667;http://commons.wikimedia.org/wiki/Special:FilePath/MJK%2067680%20Anke%20Domscheit-Berg%20%28Bundestag%202020%29.jpg;FALSCH;;anked;;WAHR
Anke Hennig;Q108756352;;FALSCH;;AnkeHennigSPD;;WAHR
Anna Christmann;Q40997480;http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Christmann%20Science%20March%20Stuttgart%20%2834194607156%29.jpg;FALSCH;;annachristmann;;WAHR
Anna Kassautzki;Q108705712;http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Kassautzki%20%282021%29.jpg;FALSCH;;annakassautzki;;WAHR
Anna Lührmann;Q85933;http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20L%C3%BChrmann%20Harvard%20EIP%20Workshop%20%28cropped%29.jpg;FALSCH;;annaluehrmann;;WAHR
Anne König;Q108756922;;FALSCH;;annekoenig_;;WAHR
Anne-Monika Spallek;Q102180722;;FALSCH;;AnneSpallek;;WAHR
Annika Klose;Q108714556;http://commons.wikimedia.org/wiki/Special:FilePath/Annika%20Klose%20BZ%20Wahllokal%20%28cropped%29.jpg;FALSCH;;AnniKlose;;WAHR
Antje Tillmann;Q584897;http://commons.wikimedia.org/wiki/Special:FilePath/2020-02-13%20Deutscher%20Bundestag%20IMG%203025%20by%20Stepro.jpg;FALSCH;;AntjeTillmann;;WAHR
